"STATEFP","COUNTYFP","TRACTCE","AFFGEOID","GEOID","GEOID_2020","COUNTY_x","StateDesc","STATEABBR","LOCATION","E_TOTPOP","M_TOTPOP","E_DAYPOP","SPL_EJI","RPL_EJI","SPL_SER","RPL_SER","SPL_EJI_CBM","RPL_EJI_CBM","E_MINRTY","EPL_MINRTY","SPL_SVM_DOM1","RPL_SVM_DOM1","E_POV200","EPL_POV200","E_NOHSDP","EPL_NOHSDP","E_UNEMP","EPL_UNEMP","E_RENTER","EPL_RENTER","E_HOUBDN","EPL_HOUBDN","E_UNINSUR","EPL_UNINSUR","E_NOINT","EPL_NOINT","SPL_SVM_DOM2","RPL_SVM_DOM2","E_AGE65","EPL_AGE65","E_AGE17","EPL_AGE17","E_DISABL","EPL_DISABL","E_LIMENG","EPL_LIMENG","SPL_SVM_DOM3","RPL_SVM_DOM3","E_MOBILE","EPL_MOBILE","E_GROUPQ","EPL_GROUPQ","SPL_SVM_DOM4","RPL_SVM_DOM4","SPL_SVM","RPL_SVM","E_OZONE","EPL_OZONE","E_PM","EPL_PM","E_DSLPM","EPL_DSLPM","E_TOTCR","EPL_TOTCR","SPL_EBM_DOM1","RPL_EBM_DOM1","E_NPL","EPL_NPL","E_TRI","EPL_TRI","E_TSD","EPL_TSD","E_RMP","EPL_RMP","E_COAL","EPL_COAL","E_LEAD","EPL_LEAD","SPL_EBM_DOM2","RPL_EBM_DOM2","E_PARK","EPL_PARK","E_HOUAGE","EPL_HOUAGE","E_WLKIND","EPL_WLKIND","SPL_EBM_DOM3","RPL_EBM_DOM3","E_RAIL","EPL_RAIL","E_ROAD","EPL_ROAD","E_AIRPRT","EPL_AIRPRT","SPL_EBM_DOM4","RPL_EBM_DOM4","E_IMPWTR","EPL_IMPWTR","F_IMPWTR","SPL_EBM_DOM5","RPL_EBM_DOM5","SPL_EBM","RPL_EBM","E_ASTHMA","EPL_ASTHMA","F_ASTHMA","E_CANCER","EPL_CANCER","F_CANCER","E_CHD","EPL_CHD","F_CHD","E_MHLTH","EPL_MHLTH","F_MHLTH","E_DIABETES","EPL_DIABETES","F_DIABETES","F_HVM","RPL_HVM","E_NEHD","EPL_NEHD","SPL_CBM_DOM1","RPL_CBM_DOM1","E_BURN","EPL_BURN","E_SMOKE","EPL_SMOKE","SPL_CBM_DOM2","RPL_CBM_DOM2","E_CFLD","EPL_CFLD","F_CFLD","E_DRGT","EPL_DRGT","F_DRGT","E_HRCN","EPL_HRCN","F_HRCN","E_RFLD","EPL_RFLD","F_RFLD","E_SWND","EPL_SWND","F_SWND","E_TRND","EPL_TRND","F_TRND","SPL_CBM_DOM3","RPL_CBM_DOM3","SPL_CBM","RPL_CBM","AFAM","E_AFAM","HISP","E_HISP","ASIAN","E_ASIAN","AIAN","E_AIAN","NHPI","E_NHPI","TWOMORE","E_TWOMORE","OTHERRACE","E_OTHERRACE","Tribe_PCT_Tract","Tribe_Names","Tribe_Flag","Unnamed..0.1","Unnamed..0","plant_name","Plant.Code","State","Sector.Name","Prime.Movers","Fuel.Types","Primary.Technology","withdrawal_volume_million_gallons","discharge_volume_million_gallons","consumption_volume_million_gallons","energy_category","map_link","longitude","latitude","STATE","COUNTY_y","TRACT","contains_energy_source","Technology_Category","Category_Number","fossil_fuels","renewables","energy_category_numeric","Power.Plant","Owner","Description","Latitude","Longitude","IntPtLat","IntPtLon","proposed_location","Band","distance_to_plant","num_energy_sources","plant_names","within_1_km","within_5_km","within_10_km","within_20_km","predicted_distance_to_plant","residuals"
24,1,200,"140000US24001000200",24001000200,24001000200,"Allegany County","Maryland","MD","Census Tract 2; Allegany County; Maryland",4052,298,5249,2.1051,0.8807,1.5051,0.8397,2.7195,0.9092,25.1,0.4072,0.4072,0.4072,30.451,0.5537,15.2,0.7423,1.9,0.158,13.8,0.1975,20.9,0.38,7.9,0.5666,27.4,0.9295,3.5276,0.509,19.8,0.681,12.3,0.092,25.1,0.9506,1.3,0.5095,2.2331,0.7007,8.3,0.7648,27.3,0.9791,1.7439,0.9741,7.9118,0.6944,0,0,0,0,0.1313,0.2516,20,0.0434,0.295,0.0643,4.477,0.9438,8.8918,0.4592,3.4302,0.5013,5.8002,0.7489,0,0,0,0,2.6532,0.9445,68.9533,0.7258,67.6,0.6361,4.1111,0.941,2.3029,0.951,25.3036,0.5042,21.3552,0.2353,5.219,0.8796,1.6191,0.9027,0.715,0.6396,0,0.6396,0.6396,7.5098,0.8107,11.3,0.7042,1,8.1,0.5031,0,8.1,0.7008,1,17.8,0.6015,0,14.6,0.7597,1,3,0.6,14,0.596,0.596,0.596,0,0,6.7,0.3258,0.3258,0.3229,0,0,1,1.2727,0.0617,9,0.0238,0.4072,9,1.9167,0.4929,9,2.6413,0.5703,9,0.0556,0.5198,9,2.0519,0.6241,2.9737,0.6144,779,19.2,99,2.4,18,0.4,9,0.2,0,0,111,2.7,0,0,0,-999,NA,140,140,"AES Warrior Run Cogeneration Facility",10678,"MD","IPP CHP","ST","BIT","Conventional Steam Coal",336,37,305,"Coal","map/?center=-78.745333,39.595171&level=14",-78.745333,39.595171,24,1,200,1,"Coal",8,1,0,4,"Warrior Run","AES Warrior Run Ltd. Partnership","180 MW, coal fired steam boiler, closed June of 2024",39.59739767,-78.74446523,39.618401,-78.72055,1,1,0,4,"AES Warrior Run Cogeneration Facility, AES Warrior Run Energy Storage Project",1,1,1,1,9.35455419471382,-9.35455419471361
24,1,500,"140000US24001000500",24001000500,24001000500,"Allegany County","Maryland","MD","Census Tract 5; Allegany County; Maryland",2304,334,5729,2.1645,0.8978,1.1645,0.6434,2.3865,0.7941,33.7,0.5119,0.5119,0.5119,51.3224,0.8642,8.8,0.5098,7.9,0.7765,40.4,0.6455,20.1,0.3505,6.1,0.4496,12.9,0.6026,4.1987,0.6678,19.1,0.6476,17.2,0.2409,30.8,0.9861,1.1,0.4781,2.3527,0.7825,0,0,32.7,0.9828,0.9828,0.6652,8.0461,0.7154,0,0,0,0,0.1761,0.3825,20,0.0434,0.4259,0.0866,4.9482,0.9451,0.0354,0.2935,53.7371,0.7079,0,0,0,0,0,0,1.9465,0.7894,99.7842,0.5655,74.6,0.7158,12.4861,0.2809,1.5622,0.4181,19.0619,0.4705,69.1671,0.432,0,0,0.9025,0.4156,0.969,0.8124,0,0.8124,0.8124,5.6495,0.4491,12.8,0.925,1,10.9,0.893,1,11.3,0.9653,1,19.3,0.7509,1,17.9,0.9166,1,5,1,13.8,0.5851,0.5851,0.5851,0,0,6.4,0.3039,0.3039,0.3013,0,0,1,0,0,0,0.0234,0.367,9,1.9167,0.4929,9,2.6143,0.5666,9,0,0,0,1.4265,0.3213,2.3155,0.222,448,19.4,125,5.4,34,1.5,0,0,0,0,152,6.6,18,0.8,0,-999,NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,0,"",0,0,0,0,"","","",NA,NA,39.654367,-78.744133,0,3,6.32370315906555,0,"",0,0,1,1,7.18560877986095,-0.861905620795449
24,1,600,"140000US24001000600",24001000600,24001000600,"Allegany County","Maryland","MD","Census Tract 6; Allegany County; Maryland",3005,329,3111,2.2956,0.9329,1.2956,0.7258,2.5176,0.8448,9.4,0.1507,0.1507,0.1507,36.701,0.6713,6.9,0.4083,4.1,0.4402,29.5,0.4961,21.5,0.4021,0.6,0.024,13.8,0.6386,3.0806,0.4041,21.7,0.7628,23.6,0.6261,17.4,0.7635,0,0,2.1524,0.6383,0,0,3.3,0.8553,0.8553,0.5328,6.239,0.4045,0,0,0,0,0.1668,0.3555,20,0.0434,0.3989,0.0819,37.0676,0.9744,26.9617,0.5716,46.15,0.6883,9.1116,0.7758,0,0,0,0,3.0101,0.9757,100,0.5514,93.4,0.9402,8.9306,0.4892,1.9808,0.7872,92.7165,0.7573,40.36,0.3232,12.1535,0.9084,1.9889,0.9434,0.867,0.7266,0,0.7266,0.7266,8.1053,0.8911,12.5,0.9009,1,10.5,0.8548,1,9.3,0.8516,1,19.2,0.7423,1,14.9,0.7811,1,5,1,13.8,0.5851,0.5851,0.5851,0,0,6.4,0.3039,0.3039,0.3013,0,0,1,0,0,0,0.0234,0.367,9,1.9167,0.4929,9,2.6143,0.5666,9,0,0,0,1.4265,0.3213,2.3155,0.222,47,1.6,21,0.7,0,0,13,0.4,0,0,192,6.4,10,0.3,0,-999,NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,0,"",0,0,0,0,"","","",NA,NA,39.640535,-78.749768,0,2,4.82428604189012,0,"",0,1,1,1,9.51539690511964,-4.69111086322952
24,1,700,"140000US24001000700",24001000700,24001000700,"Allegany County","Maryland","MD","Census Tract 7; Allegany County; Maryland",3233,415,2685,2.7291,0.9977,1.7291,0.9356,2.7689,0.9225,6.6,0.091,0.091,0.091,57.88,0.9159,12.6,0.6662,10.6,0.8857,51.2,0.7581,38.4,0.8296,2.9,0.1885,21.4,0.8514,5.0954,0.8438,20,0.69,26,0.7586,21.2,0.886,0.3,0.2859,2.6205,0.9146,1,0.5434,0.4,0.5495,1.0929,0.7097,8.8998,0.8366,0,0,0,0,0.2227,0.5109,20,0.0434,0.5543,0.1128,2.2488,0.9371,93.5979,0.8104,66.5932,0.7388,99.7102,0.9782,0,0,0,0,3.4645,0.9889,100,0.5514,84.4,0.8327,17.0833,0.015,1.3991,0.2604,100,0.8112,26.9699,0.2643,88.8211,0.9836,2.0591,0.9509,0.718,0.6414,0,0.6414,0.6414,8.1184,0.8925,13.7,0.9684,1,10.1,0.8054,1,10.2,0.9218,1,21.7,0.9018,1,16.5,0.8676,1,5,1,13.8,0.5851,0.5851,0.5851,0,0,6.4,0.3039,0.3039,0.3013,0,0,1,0,0,0,0.0234,0.367,9,0,0,0,2.6143,0.5666,9,0,0,0,0.9336,0.1031,1.8226,0.0398,57,1.8,17,0.5,0,0,0,0,0,0,132,4.1,6,0.2,0,-999,NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,0,"",0,0,0,0,"","","",NA,NA,39.634989,-78.755822,0,2,4.35890133605407,0,"",0,1,1,1,9.25907944128947,-4.90017810523538
24,1,800,"140000US24001000800",24001000800,24001000800,"Allegany County","Maryland","MD","Census Tract 8; Allegany County; Maryland",1932,285,1776,2.405,0.957,1.605,0.886,2.6307,0.8829,11.1,0.1838,0.1838,0.1838,60.9553,0.9345,13.8,0.7031,11,0.8961,52.2,0.7679,52.2,0.9617,9,0.6252,12.2,0.5741,5.4626,0.9005,12.7,0.3003,21.6,0.497,22.8,0.9181,0,0,1.7154,0.2806,0,0,0.1,0.3697,0.3697,0.1668,7.7315,0.6641,0,0,0,0,0.2106,0.4796,30,0.4976,0.9772,0.2956,0.5968,0.9292,94.7036,0.815,96.3293,0.8164,70.6909,0.934,0,0,0,0,3.4946,0.9899,100,0.5514,88.4,0.8808,16.5,0.0278,1.46,0.3152,100,0.8112,28.3341,0.2708,72.2431,0.9755,2.0575,0.9508,0.703,0.6335,0,0.6335,0.6335,8.6228,0.9409,13.7,0.9684,1,8.6,0.5721,0,9.7,0.8872,1,23.1,0.946,1,16.7,0.8759,1,4,0.8,13.8,0.5851,0.5851,0.5851,0,0,6.5,0.3111,0.3111,0.3084,0,0,1,0,0,0,0.0234,0.367,9,1.9167,0.4929,9,2.6143,0.5666,9,0,0,0,1.4265,0.3213,2.3227,0.2257,24,1.2,123,6.4,17,0.9,0,0,0,0,51,2.6,0,0,0,-999,NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,0,"",0,0,0,0,"","","",NA,NA,39.631465,-78.765327,0,2,4.43416369808734,0,"",0,1,1,1,9.22201454143786,-4.78785084335054
24,1,1000,"140000US24001001000",24001001000,24001001000,"Allegany County","Maryland","MD","Census Tract 10; Allegany County; Maryland",1928,322,4424,2.2927,0.9322,1.2927,0.7242,2.5184,0.8451,8.9,0.1401,0.1401,0.1401,55.0079,0.8953,15,0.7369,17.2,0.9735,57.5,0.8131,38.7,0.8342,2.6,0.1634,34.7,0.9723,5.3887,0.8902,33.7,0.9617,20.2,0.4093,29.8,0.9824,0.8,0.4212,2.7746,0.9575,1.1,0.5511,2.9,0.837,1.3881,0.8274,9.6915,0.9244,0,0,0,0,0.1835,0.4032,20,0.0434,0.4466,0.0903,0,0,0,0,100,0.8446,0,0,0,0,0,0,0.8446,0.3699,100,0.5514,96.7,0.976,11.4028,0.3464,1.8738,0.7115,100,0.8112,90.6279,0.52,0,0,1.3312,0.6482,0.939,0.7856,0,0.7856,0.7856,5.2818,0.3683,13.6,0.9655,1,9.3,0.6799,1,9.9,0.9021,1,21.4,0.8877,1,17,0.8868,1,5,1,13.8,0.5851,0.5851,0.5851,0,0,6.5,0.3111,0.3111,0.3084,0,0,1,0,0,0,0.0234,0.367,9,1.9167,0.4929,9,2.6143,0.5666,9,0,0,0,1.4265,0.3213,2.3227,0.2257,78,4,38,2,0,0,0,0,0,0,55,2.9,0,0,0,-999,NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,0,"",0,0,0,0,"","","",NA,NA,39.658801,-78.768432,0,3,7.31655470605125,0,"",0,0,1,1,7.37099459119864,-0.0544398851473683
24,1,1100,"140000US24001001100",24001001100,24001001100,"Allegany County","Maryland","MD","Census Tract 11; Allegany County; Maryland",1327,183,2678,1.6774,0.7122,0.8774,0.4176,1.9031,0.5557,11.1,0.1838,0.1838,0.1838,40.1968,0.7282,8.1,0.4741,8.6,0.8129,56.5,0.8054,29.3,0.6456,2.3,0.139,13,0.6068,4.212,0.6705,20.3,0.704,15.8,0.1833,21.8,0.8991,0,0,1.7864,0.3304,0,0,2.2,0.7977,0.7977,0.4856,6.9799,0.5349,0,0,0,0,0.2076,0.4716,20,0.0434,0.515,0.1036,0,0,0,0,100,0.8446,0,0,0,0,0,0,0.8446,0.3699,100,0.5514,97,0.9788,14.1944,0.15,1.6802,0.5421,100,0.8112,100,0.6136,0,0,1.4248,0.7208,0.829,0.6995,0,0.6995,0.6995,5.1641,0.3425,12.1,0.8555,1,10.2,0.8184,1,8.3,0.7304,1,18,0.6235,0,13.6,0.6738,1,4,0.8,13.8,0.5851,0.5851,0.5851,0,0,6.5,0.3111,0.3111,0.3084,0,0,1,0,0,0,0.0234,0.367,9,1.9167,0.4929,9,2.6143,0.5666,9,0,0,0,1.4265,0.3213,2.3227,0.2257,56,4.2,13,1,16,1.2,0,0,0,0,62,4.7,0,0,0,-999,NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,0,"",0,0,0,0,"","","",NA,NA,39.651549,-78.772188,0,3,6.75270442496476,0,"",0,0,1,1,7.04722184049757,-0.294517415532806
24,1,1200,"140000US24001001200",24001001200,24001001200,"Allegany County","Maryland","MD","Census Tract 12; Allegany County; Maryland",2924,366,3875,0.7212,0.1707,0.5212,0.16,0.9469,0.0863,9.9,0.161,0.161,0.161,10.9264,0.1266,3.2,0.1712,2.5,0.2311,14.7,0.2165,17.1,0.2409,2.3,0.139,7.1,0.3345,1.4598,0.0893,27.4,0.9074,13.9,0.1256,16,0.6985,0,0,1.7315,0.2917,0,0,3.3,0.8553,0.8553,0.5328,4.2076,0.1136,0,0,0,0,0.175,0.3792,20,0.0434,0.4226,0.0861,0,0,14.1893,0.5005,85.4002,0.7829,0,0,0,0,0,0,1.2834,0.5342,99.9778,0.556,86.5,0.8571,11.0278,0.3671,1.7802,0.6356,97.3039,0.7806,83.9754,0.4901,0,0,1.2707,0.608,0.839,0.7052,0,0.7052,0.7052,5.4621,0.4076,11.1,0.652,0,11.2,0.9139,1,7.7,0.6383,0,15.1,0.2822,0,12.1,0.5109,0,1,0.2,13.8,0.5851,0.5851,0.5851,0,0,6.5,0.3111,0.3111,0.3084,0,0,1,0,0,0,0.0234,0.367,9,1.9167,0.4929,9,2.6143,0.5666,9,0,0,0,1.4265,0.3213,2.3227,0.2257,20,0.7,48,1.6,95,3.2,11,0.4,0,0,116,4,0,0,0,-999,NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,0,"",0,0,0,0,"","","",NA,NA,39.650063,-78.787024,0,3,7.51600818420845,0,"",0,0,1,1,9.19801757050401,-1.68200938629555
24,1,1300,"140000US24001001300",24001001300,24001001300,"Allegany County","Maryland","MD","Census Tract 13; Allegany County; Maryland",5061,239,5605,1.5306,0.6389,1.1306,0.6196,1.7563,0.4709,50.5,0.6656,0.6656,0.6656,36.2318,0.6635,20.3,0.8438,5.6,0.6044,29.1,0.4898,21,0.3841,3,0.1973,15.8,0.7095,3.8924,0.596,10.7,0.2044,7,0.0359,21.9,0.9014,1.1,0.4781,1.6198,0.221,1.2,0.5585,57.8,0.9913,1.5498,0.9071,7.7276,0.6634,0,0,0,0,0.175,0.3792,20,0.0434,0.4226,0.0861,0,0,46.7408,0.6498,27.7021,0.6331,0,0,0,0,0,0,1.2829,0.534,64.2837,0.7404,84.6,0.8351,11.0278,0.3671,1.9426,0.7619,98.1994,0.7863,100,0.6136,0,0,1.3999,0.6999,0.805,0.6851,0,0.6851,0.6851,5.7331,0.4672,10.8,0.5656,0,5.4,0.1869,0,6.3,0.3854,0,18.6,0.6862,1,13.9,0.7014,1,2,0.4,13.8,0.5851,0.5851,0.5851,0,0,6.5,0.3111,0.3111,0.3084,0,0,1,0,0,0,0.0234,0.367,9,1.9167,0.4929,9,2.6143,0.5666,9,0.0278,0,2,1.4265,0.3213,2.3227,0.2257,2212,43.7,152,3,10,0.2,18,0.4,0,0,164,3.2,0,0,0,-999,NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,0,"",0,0,0,0,"","","",NA,NA,39.609909,-78.813528,0,3,7.79074482998807,0,"",0,0,1,1,6.19324841480833,1.59749641517973
24,1,1401,"140000US24001001401",24001001401,24001001401,"Allegany County","Maryland","MD","Census Tract 14.01; Allegany County; Maryland",4027,419,6104,1.3813,0.5579,0.5813,0.1963,1.607,0.3863,11.9,0.1987,0.1987,0.1987,26.763,0.4767,2.3,0.1134,3.4,0.3511,10.1,0.1218,13.1,0.1165,3.5,0.2412,12.7,0.5941,2.0148,0.1791,23.1,0.8115,20.4,0.4225,14.6,0.6215,0.3,0.2859,2.1414,0.6288,4.6,0.6943,0.5,0.5859,1.2802,0.7758,5.6351,0.3068,0,0,0,0,0.1117,0.1922,20,0.0434,0.2356,0.0541,0,0,0.5781,0.321,22.376,0.614,0,0,0,0,0,0,0.935,0.419,57.1935,0.7626,68.5,0.6465,7.0556,0.661,2.0701,0.8437,23.1352,0.4931,51.4222,0.3659,0,0,0.859,0.3989,0.883,0.7396,0,0.7396,0.7396,4.8393,0.2745,11.2,0.6788,1,11.5,0.9301,1,8.8,0.7956,1,15.4,0.3154,0,13.7,0.683,1,4,0.8,13.8,0.5851,0.5851,0.5851,0,0,6.5,0.3111,0.3111,0.3084,0,0,1,0,0,0,0.0234,0.367,9,1.9167,0.4929,9,2.6143,0.5666,9,0.0278,0,2,1.4265,0.3213,2.3227,0.2257,55,1.4,171,4.2,61,1.5,8,0.2,0,0,155,3.8,29,0.7,0,-999,NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,0,"",0,0,0,0,"","","",NA,NA,39.646359,-78.829557,0,4,10.8971369853108,0,"",0,0,0,1,9.39403461165355,1.50310237365728
24,1,1402,"140000US24001001402",24001001402,24001001402,"Allegany County","Maryland","MD","Census Tract 14.02; Allegany County; Maryland",1599,229,899,0.7991,0.2104,0.3991,0.0964,1.0248,0.1105,7.7,0.1148,0.1148,0.1148,22.601,0.3866,5.2,0.3025,3.3,0.3381,20.7,0.3407,16.6,0.2231,0.3,0.0128,6.1,0.282,1.8858,0.1562,24.7,0.8552,21.3,0.4783,12.4,0.4809,0,0,1.8144,0.3518,0,0,0.1,0.3697,0.3697,0.1668,4.1847,0.1112,0,0,0,0,0.1594,0.3347,20,0.0434,0.3781,0.078,0,0,0.0373,0.2937,55.324,0.7118,0,0,0,0,0,0,1.0055,0.4427,99.4707,0.5737,78.6,0.7623,11.2778,0.3537,1.6897,0.552,32.0648,0.5367,63.2506,0.4097,0,0,0.9464,0.436,1,0.8863,0,0.8863,0.8863,4.906,0.2879,11.4,0.7278,1,10.6,0.8652,1,7.4,0.5898,0,16,0.3855,0,12.3,0.5352,0,2,0.4,13.8,0.5851,0.5851,0.5851,0,0,6.5,0.3111,0.3111,0.3084,0,0,1,0,0,0,0.0234,0.367,9,1.9167,0.4929,9,2.6143,0.5666,9,0.0278,0,2,1.4265,0.3213,2.3227,0.2257,47,2.9,8,0.5,19,1.2,0,0,0,0,49,3.1,0,0,0,-999,NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,0,"",0,0,0,0,"","","",NA,NA,39.652023,-78.81138,0,3,9.58818560381589,0,"",0,0,1,1,9.52514308219803,0.0630425216178724
24,1,1502,"140000US24001001502",24001001502,24001001502,"Allegany County","Maryland","MD","Census Tract 15.02; Allegany County; Maryland",2116,274,1105,1.4478,0.5948,0.6478,0.2406,1.6856,0.4307,4.3,0.0446,0.0446,0.0446,36.5784,0.6693,7.7,0.4532,6.3,0.6666,21.9,0.3648,17.7,0.2628,5.1,0.3756,25.3,0.9085,3.7008,0.5509,23.8,0.8326,18.6,0.3128,22.3,0.9091,0,0,2.0545,0.5564,6.2,0.7283,0.1,0.3697,1.098,0.7114,6.8979,0.5202,0,0,0,0,0.0992,0.153,20,0.0434,0.1964,0.0465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7348,0.9681,75.7,0.7284,4.5,0.9151,2.6116,0.9968,82.8697,0.7196,0,0,0,0,0.7196,0.348,0.401,0.4497,0,0.4497,0.4497,3.9773,0.1276,12.1,0.8555,1,10.9,0.893,1,9.4,0.8612,1,18.2,0.6445,0,15.1,0.7943,1,4,0.8,14.2,0.6052,0.6052,0.6052,0,0,6.5,0.3111,0.3111,0.3084,0,0,1,0,0,0,0.0234,0.367,9,1.9167,0.4929,9,2.6143,0.5666,9,0,0,0,1.4265,0.3213,2.3428,0.2378,4,0.2,6,0.3,0,0,0,0,0,0,81,3.8,0,0,0,-999,NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,0,"",0,0,0,0,"","","",NA,NA,39.700973,-78.78794,0,4,12.4685685912266,0,"",0,0,0,1,10.8885991802486,1.57996941097804
24,1,1503,"140000US24001001503",24001001503,24001001503,"Allegany County","Maryland","MD","Census Tract 15.03; Allegany County; Maryland",1707,263,1261,1.8616,0.7934,0.8616,0.4047,2.1511,0.6867,4.3,0.0446,0.0446,0.0446,37.727,0.6887,10.2,0.5751,12.7,0.929,21.6,0.3591,24.4,0.502,2.8,0.1794,21,0.8435,4.0768,0.6405,25.3,0.8692,10.8,0.0695,19.9,0.8525,1.2,0.4943,2.2855,0.7379,6.3,0.7302,0,0,0.7302,0.4349,7.1371,0.5641,0,0,0,0,0.0841,0.1077,20,0.0434,0.1511,0.0362,0,0,20.3874,0.5381,0.9379,0.4627,0,0,0,0,0,0,1.0008,0.4415,44.8523,0.7996,81.3,0.7945,3.8889,0.9546,2.5487,0.9932,44.9165,0.5888,0,0,0,0,0.5888,0.2125,0.758,0.6618,0,0.6618,0.6618,4.9512,0.2975,12.3,0.8804,1,9.9,0.7768,1,9.4,0.8612,1,19.3,0.7509,1,15.1,0.7943,1,5,1,15.2,0.6949,0.6949,0.6949,0,0,6.6,0.3187,0.3187,0.3159,0,0,1,0,0,0,0.0234,0.367,9,1.9167,0.4929,9,2.6143,0.5666,9,0.0278,0,2,1.4265,0.3213,2.4401,0.2895,7,0.4,9,0.5,0,0,5,0.3,2,0.1,50,2.9,0,0,0,-999,NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,0,"",0,0,0,0,"","","",NA,NA,39.699175,-78.873226,0,4,18.2181946122436,0,"",0,0,0,1,10.3133732212186,7.90482139102499
24,1,1700,"140000US24001001700",24001001700,24001001700,"Allegany County","Maryland","MD","Census Tract 17; Allegany County; Maryland",3722,464,3193,1.9542,0.8299,0.9542,0.4797,2.2,0.7106,8.6,0.134,0.134,0.134,42.9107,0.7673,6.9,0.4083,7.3,0.7408,37.4,0.6082,28.2,0.6163,2.5,0.1553,14,0.6464,3.9426,0.6078,24.2,0.843,19.1,0.341,14.9,0.6389,0.3,0.2859,2.1088,0.6016,4.6,0.6943,5,0.9036,1.5979,0.9278,7.7833,0.6727,0,0,0,0,0.1009,0.1579,20,0.0434,0.2013,0.0475,0,0,6.1214,0.4284,40.4314,0.672,0,0,0,0,0,0,1.1004,0.4726,60.0936,0.7536,78.8,0.7646,10.2083,0.4121,1.9303,0.7533,60.2307,0.6437,29.7737,0.2774,0,0,0.9211,0.4228,0.858,0.721,0,0.721,0.721,4.8741,0.2815,12.3,0.8804,1,10,0.7914,1,8.9,0.8079,1,19.2,0.7423,1,14.2,0.7268,1,5,1,14.4,0.6201,0.6201,0.6201,0,0,6.5,0.3111,0.3111,0.3084,0,0,1,0,0,0,0.0234,0.367,9,1.9167,0.4929,9,2.6143,0.5666,9,0.0278,0,2,1.4265,0.3213,2.3577,0.2458,118,3.2,80,2.1,74,2,1,0,0,0,24,0.6,24,0.6,0,-999,NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,0,"",0,0,0,0,"","","",NA,NA,39.650781,-78.911364,0,4,19.4503483404281,0,"",0,0,0,1,9.19601885100171,10.2543294894264
24,1,2000,"140000US24001002000",24001002000,24001002000,"Allegany County","Maryland","MD","Census Tract 20; Allegany County; Maryland",5177,576,2928,2.0244,0.8546,1.0244,0.537,2.2604,0.7388,2.7,0.0188,0.0188,0.0188,28.4334,0.5123,11.4,0.6228,0.6,0.0427,25.7,0.4335,13.9,0.1376,3.9,0.2758,17.6,0.7645,2.7892,0.3375,18.8,0.6322,19.4,0.3586,18.9,0.8211,0,0,1.8119,0.3497,6.6,0.7362,0.1,0.3697,1.1059,0.7134,5.7258,0.3204,0,0,0,0,0.0966,0.1452,20,0.0434,0.1886,0.0448,5.9415,0.9473,10.2764,0.4716,15.5131,0.585,0,0,0.5901,0.9907,0,0,2.9946,0.9753,81.7243,0.6817,80.3,0.7828,8.0185,0.5638,2.0283,0.8182,48.3536,0.602,58.1811,0.3915,0,0,0.9935,0.4621,0.781,0.675,0,0.675,0.675,6.88,0.704,12.3,0.8804,1,10.1,0.8054,1,8.6,0.7708,1,18.7,0.6959,1,13.9,0.7014,1,5,1,14,0.596,0.596,0.596,0,0,6.6,0.3187,0.3187,0.3159,0,0,1,0,0,0,0.0234,0.367,9,1.9167,0.4929,9,2.6126,0.5665,9,0,0,0,1.4264,0.3213,2.3411,0.236,16,0.3,0,0,70,1.4,0,0,0,0,56,1.1,0,0,0,-999,NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,0,"",0,0,0,0,"","","",NA,NA,39.574518,-78.856639,0,4,12.7076501765644,0,"",0,0,0,1,8.99776819744037,3.70988197912399
