STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,GEOID_2020,COUNTY_x,StateDesc,STATEABBR,LOCATION,E_TOTPOP,M_TOTPOP,E_DAYPOP,SPL_EJI,RPL_EJI,SPL_SER,RPL_SER,SPL_EJI_CBM,RPL_EJI_CBM,E_MINRTY,EPL_MINRTY,SPL_SVM_DOM1,RPL_SVM_DOM1,E_POV200,EPL_POV200,E_NOHSDP,EPL_NOHSDP,E_UNEMP,EPL_UNEMP,E_RENTER,EPL_RENTER,E_HOUBDN,EPL_HOUBDN,E_UNINSUR,EPL_UNINSUR,E_NOINT,EPL_NOINT,SPL_SVM_DOM2,RPL_SVM_DOM2,E_AGE65,EPL_AGE65,E_AGE17,EPL_AGE17,E_DISABL,EPL_DISABL,E_LIMENG,EPL_LIMENG,SPL_SVM_DOM3,RPL_SVM_DOM3,E_MOBILE,EPL_MOBILE,E_GROUPQ,EPL_GROUPQ,SPL_SVM_DOM4,RPL_SVM_DOM4,SPL_SVM,RPL_SVM,E_OZONE,EPL_OZONE,E_PM,EPL_PM,E_DSLPM,EPL_DSLPM,E_TOTCR,EPL_TOTCR,SPL_EBM_DOM1,RPL_EBM_DOM1,E_NPL,EPL_NPL,E_TRI,EPL_TRI,E_TSD,EPL_TSD,E_RMP,EPL_RMP,E_COAL,EPL_COAL,E_LEAD,EPL_LEAD,SPL_EBM_DOM2,RPL_EBM_DOM2,E_PARK,EPL_PARK,E_HOUAGE,EPL_HOUAGE,E_WLKIND,EPL_WLKIND,SPL_EBM_DOM3,RPL_EBM_DOM3,E_RAIL,EPL_RAIL,E_ROAD,EPL_ROAD,E_AIRPRT,EPL_AIRPRT,SPL_EBM_DOM4,RPL_EBM_DOM4,E_IMPWTR,EPL_IMPWTR,F_IMPWTR,SPL_EBM_DOM5,RPL_EBM_DOM5,SPL_EBM,RPL_EBM,E_ASTHMA,EPL_ASTHMA,F_ASTHMA,E_CANCER,EPL_CANCER,F_CANCER,E_CHD,EPL_CHD,F_CHD,E_MHLTH,EPL_MHLTH,F_MHLTH,E_DIABETES,EPL_DIABETES,F_DIABETES,F_HVM,RPL_HVM,E_NEHD,EPL_NEHD,SPL_CBM_DOM1,RPL_CBM_DOM1,E_BURN,EPL_BURN,E_SMOKE,EPL_SMOKE,SPL_CBM_DOM2,RPL_CBM_DOM2,E_CFLD,EPL_CFLD,F_CFLD,E_DRGT,EPL_DRGT,F_DRGT,E_HRCN,EPL_HRCN,F_HRCN,E_RFLD,EPL_RFLD,F_RFLD,E_SWND,EPL_SWND,F_SWND,E_TRND,EPL_TRND,F_TRND,SPL_CBM_DOM3,RPL_CBM_DOM3,SPL_CBM,RPL_CBM,AFAM,E_AFAM,HISP,E_HISP,ASIAN,E_ASIAN,AIAN,E_AIAN,NHPI,E_NHPI,TWOMORE,E_TWOMORE,OTHERRACE,E_OTHERRACE,Tribe_PCT_Tract,Tribe_Names,Tribe_Flag,Unnamed: 0.1,Unnamed: 0,plant_name,Plant Code,State,Sector Name,Prime Movers,Fuel Types,Primary Technology,withdrawal_volume_million_gallons,discharge_volume_million_gallons,consumption_volume_million_gallons,energy_category,map_link,longitude,latitude,STATE,COUNTY_y,TRACT,contains_energy_source,Technology_Category,Category_Number,fossil_fuels,renewables,energy_category_numeric,IntPtLat,IntPtLon,Band,distance_to_plant,num_energy_sources,plant_names,within_1_km,within_5_km,within_10_km,within_20_km,natural_gas
24.0,3.0,702205.0,140000US24003702205,24003702205.0,24003702205.0,Anne Arundel County,Maryland,MD,Census Tract 7022.05; Anne Arundel County; Maryland,5292.0,597.0,5516.0,0.8863,0.2599,0.8863,0.4248,1.5873,0.3754,42.7,0.6016,0.6016,0.6016,8.2377,0.0745,3.7,0.2032,4.2,0.4524,28.2,0.4755,20.2,0.3542,4.0,0.2851,2.6,0.1015,1.9464,0.1671,16.5,0.5075,25.0,0.7068,9.1,0.2466,1.4,0.5234,1.9843,0.4931,0.0,0.0,0.2,0.443,0.443,0.2021,4.9753,0.2085,0.639,0.727,0.0,0.0,0.2861,0.656,30.0,0.4976,1.8806,0.6454,0.0,0.0,81.9761,0.7666,0.0,0.0,65.6341,0.9265,0.0,0.0,0.0,0.0,1.6931,0.7046,100.0,0.5514,67.4,0.6342,8.0,0.5679,1.7535,0.6121,0.0,0.0,91.1951,0.5231,0.0,0.0,0.5231,0.1775,1.0,0.8863,0.0,0.8863,0.8863,6.7366,0.6778,10.3,0.4145,0.0,8.8,0.6013,0.0,5.4,0.2129,0.0,14.0,0.1741,0.0,8.8,0.1298,0.0,0.0,0.0,8.6,0.2039,0.2039,0.2039,0.0,0.0,6.3,0.2945,0.2945,0.2919,0.0,0.0,0.0,5.0909,0.2905,9.0,0.0935,0.6127,9.0,3.75,0.8048,9.0,7.4121,0.9528,9.0,0.0,0.0,0.0,2.6608,0.8673,3.1592,0.701,1527.0,28.9,156.0,2.9,246.0,4.6,0.0,0.0,0.0,0.0,329.0,6.2,0.0,0.0,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,39.007965,-76.689023,4,19.481666519415803,0,,0,0,0,1,False
24.0,3.0,702208.0,140000US24003702208,24003702208.0,24003702208.0,Anne Arundel County,Maryland,MD,Census Tract 7022.08; Anne Arundel County; Maryland,8473.0,1066.0,3353.0,0.6081,0.1204,0.6081,0.2137,0.8515,0.0618,51.1,0.6702,0.6702,0.6702,9.2529,0.0935,6.2,0.3661,5.9,0.633,20.4,0.3348,16.5,0.2195,4.2,0.3017,0.0,0.0,1.9486,0.1676,7.2,0.081,27.3,0.8152,7.7,0.1583,3.7,0.7132,1.7677,0.3171,0.0,0.0,0.0,0.0,0.0,0.0,4.3865,0.1341,0.731,0.766,0.0,0.0,0.2607,0.6007,30.0,0.4976,1.8643,0.6398,0.0,0.0,14.7353,0.5043,0.0,0.0,37.0349,0.8734,0.0,0.0,0.0,0.0,1.3777,0.5693,100.0,0.5514,17.0,0.1408,9.0972,0.4773,1.1695,0.1118,0.0,0.0,78.1131,0.4658,0.0,0.0,0.4658,0.1508,1.0,0.8863,0.0,0.8863,0.8863,5.7636,0.474,10.7,0.5367,0.0,5.9,0.2434,0.0,3.7,0.0419,0.0,15.1,0.2822,0.0,8.0,0.079,0.0,0.0,0.0,8.6,0.2039,0.2039,0.2039,0.0,0.0,6.2,0.2827,0.2827,0.2803,0.0,0.0,0.0,5.4091,0.302,9.0,0.0935,0.6127,9.0,0.0,0.0,0.0,7.4121,0.9528,9.0,0.0,0.0,0.0,1.8675,0.5326,2.3541,0.2434,1939.0,22.9,736.0,8.7,1469.0,17.3,0.0,0.0,0.0,0.0,182.0,2.1,0.0,0.0,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,39.030773,-76.672851,4,18.476398792657537,0,,0,0,0,1,False
24.0,3.0,702209.0,140000US24003702209,24003702209.0,24003702209.0,Anne Arundel County,Maryland,MD,Census Tract 7022.09; Anne Arundel County; Maryland,3802.0,363.0,2773.0,0.5595,0.1011,0.5595,0.1825,1.2561,0.203,19.1,0.3188,0.3188,0.3188,4.8921,0.0246,2.0,0.0951,2.9,0.2837,14.7,0.2165,8.5,0.0311,1.4,0.0703,6.5,0.3033,1.0246,0.0392,9.0,0.1382,28.7,0.8645,4.4,0.0299,0.4,0.3193,1.3519,0.1084,0.0,0.0,0.0,0.0,0.0,0.0,2.6953,0.0134,0.639,0.727,0.0,0.0,0.2715,0.6247,30.0,0.4976,1.8493,0.634,0.0,0.0,54.2861,0.6757,0.0,0.0,99.1461,0.9763,0.0,0.0,0.0,0.0,1.652,0.6872,100.0,0.5514,9.3,0.0878,9.4444,0.4555,1.0947,0.0781,0.0,0.0,100.0,0.6136,0.0,0.0,0.6136,0.2271,1.0,0.8863,0.0,0.8863,0.8863,6.0959,0.5461,10.4,0.4446,0.0,7.0,0.3678,0.0,4.2,0.0701,0.0,14.6,0.2302,0.0,8.0,0.079,0.0,0.0,0.0,8.6,0.2039,0.2039,0.2039,0.0,0.0,6.2,0.2827,0.2827,0.2803,0.0,0.0,0.0,5.0909,0.2905,9.0,0.0935,0.6127,9.0,3.75,0.8048,9.0,7.4121,0.9528,9.0,0.0,0.0,0.0,2.6608,0.8673,3.1474,0.6966,176.0,4.6,89.0,2.3,334.0,8.8,0.0,0.0,0.0,0.0,89.0,2.3,37.0,1.0,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,39.02066,-76.683341,4,18.65054748775455,0,,0,0,0,1,False
24.0,3.0,730101.0,140000US24003730101,24003730101.0,24003730101.0,Anne Arundel County,Maryland,MD,Census Tract 7301.01; Anne Arundel County; Maryland,2114.0,317.0,551.0,0.6925,0.1568,0.6925,0.272,1.6561,0.4138,5.5,0.068,0.068,0.068,7.1901,0.0562,11.5,0.6268,0.1,0.0276,1.8,0.0104,6.3,0.0137,0.9,0.0391,2.1,0.0789,0.8527,0.024,25.4,0.8714,15.5,0.1729,10.6,0.3534,1.6,0.5499,1.9476,0.4607,0.0,0.0,0.3,0.5046,0.5046,0.2494,3.3729,0.043,1.278,0.8855,0.137,0.7228,0.2896,0.6628,30.0,0.4976,2.7687,0.8938,0.0,0.0,0.0,0.0,85.2966,0.7826,7.2992,0.7625,0.0,0.0,0.0,0.0,1.5451,0.6406,100.0,0.5514,34.9,0.2834,9.7222,0.4384,1.2732,0.1684,0.0,0.0,26.9341,0.2641,0.0,0.0,0.2641,0.0858,0.88,0.7375,0.0,0.7375,0.7375,6.5886,0.6495,11.0,0.6239,0.0,9.0,0.632,0.0,6.9,0.5003,0.0,16.2,0.4106,0.0,11.0,0.3739,0.0,0.0,0.0,9.2,0.2303,0.2303,0.2303,0.0,0.0,6.4,0.3039,0.3039,0.3013,3.685,0.7265,9.0,5.7273,0.3153,9.0,0.1187,0.6897,9.0,3.75,0.8048,9.0,8.8109,0.9953,9.0,0.0,0.0,0.0,3.5316,0.9909,4.0658,0.9636,51.0,2.4,58.0,2.7,8.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,39.153601,-76.553812,4,14.188316534591085,0,,0,0,0,1,False
24.0,3.0,730102.0,140000US24003730102,24003730102.0,24003730102.0,Anne Arundel County,Maryland,MD,Census Tract 7301.02; Anne Arundel County; Maryland,11619.0,1218.0,8472.0,1.2631,0.4913,1.0631,0.5687,2.2293,0.7246,48.9,0.6539,0.6539,0.6539,10.4414,0.1166,3.6,0.1965,4.6,0.4996,22.7,0.3805,12.3,0.0964,3.8,0.267,2.2,0.0833,1.6399,0.1154,5.2,0.04,23.1,0.5938,7.3,0.1362,1.4,0.5234,1.2934,0.0928,0.0,0.0,0.2,0.443,0.443,0.2021,4.0302,0.0958,1.278,0.8855,0.137,0.7228,0.2896,0.6628,30.0,0.4976,2.7687,0.8938,13.1976,0.9571,65.6305,0.7131,96.294,0.8162,50.0139,0.8999,0.0,0.0,0.0,0.0,3.3863,0.986,99.9281,0.5595,9.9,0.0921,9.7222,0.4384,1.09,0.0762,57.7321,0.6348,71.3579,0.4401,0.0,0.0,1.0749,0.5026,0.906,0.7555,0.0,0.7555,0.7555,9.0754,0.9673,11.2,0.6788,1.0,5.2,0.1641,0.0,3.6,0.0378,0.0,17.8,0.6015,0.0,7.6,0.0626,0.0,1.0,0.2,9.2,0.2303,0.2303,0.2303,0.0,0.0,6.4,0.3039,0.3039,0.3013,3.687,0.7374,9.0,6.0455,0.3257,9.0,0.1249,0.6949,9.0,3.75,0.8048,9.0,9.2724,0.9958,9.0,0.0,0.0,0.0,3.5586,0.9923,4.0928,0.9662,3081.0,26.5,1065.0,9.2,730.0,6.3,0.0,0.0,0.0,0.0,804.0,6.9,0.0,0.0,0.0,-999,,1403.0,1403.0,Brandon Shores,602.0,MD,IPP Non-CHP,ST,BIT,Conventional Steam Coal,691,399,292,Coal,"map/?center=-76.537151,39.182073&level=14",-76.537151,39.182073,24.0,3.0,730102.0,1,Coal,8,1,0,4.0,39.172241,-76.553787,4,12.252704845390497,4,"Brandon Shores, Herbert A Wagner",0,0,0,1,False
24.0,3.0,730204.0,140000US24003730204,24003730204.0,24003730204.0,Anne Arundel County,Maryland,MD,Census Tract 7302.04; Anne Arundel County; Maryland,7100.0,1035.0,3233.0,0.8023,0.212,0.6023,0.21,1.5777,0.3705,59.2,0.7269,0.7269,0.7269,12.6724,0.1635,7.6,0.4483,1.5,0.1141,11.1,0.1411,12.1,0.0921,5.4,0.3983,6.0,0.2763,1.6337,0.1144,12.2,0.2745,20.3,0.4157,13.1,0.5267,0.0,0.0,1.2169,0.0748,0.0,0.0,2.2,0.7977,0.7977,0.4856,4.3752,0.1327,1.278,0.8855,0.091,0.5886,0.2793,0.6414,30.0,0.4976,2.6131,0.8631,0.0,0.0,0.0,0.0,39.1782,0.6686,0.0,0.0,0.0,0.0,0.0,0.0,0.6686,0.2945,100.0,0.5514,36.5,0.2982,10.5185,0.3937,1.2433,0.1504,0.0,0.0,74.9535,0.4539,0.0,0.0,0.4539,0.1455,0.914,0.7642,0.0,0.7642,0.7642,5.7431,0.4696,11.4,0.7278,1.0,7.0,0.3678,0.0,5.7,0.267,0.0,16.8,0.484,0.0,11.3,0.4116,0.0,1.0,0.2,9.8,0.2686,0.2686,0.2686,0.0,0.0,6.4,0.3039,0.3039,0.3013,0.0,0.0,0.0,5.7273,0.3153,9.0,0.1015,0.6593,9.0,3.75,0.8048,9.0,7.6837,0.9756,9.0,0.0,0.0,0.0,2.755,0.9016,3.3275,0.7754,2527.0,35.6,756.0,10.6,139.0,2.0,0.0,0.0,0.0,0.0,781.0,11.0,0.0,0.0,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,39.143681,-76.578285,4,14.636546951986585,0,,0,0,0,1,False
24.0,3.0,730205.0,140000US24003730205,24003730205.0,24003730205.0,Anne Arundel County,Maryland,MD,Census Tract 7302.05; Anne Arundel County; Maryland,2294.0,338.0,3220.0,1.0536,0.3626,0.8536,0.3981,1.3441,0.2452,42.6,0.6007,0.6007,0.6007,40.5841,0.734,13.9,0.7064,5.4,0.5849,91.5,0.9747,32.7,0.7255,4.9,0.3598,12.8,0.5983,4.6836,0.7687,13.1,0.3209,12.4,0.0937,25.0,0.9495,2.0,0.5931,1.9572,0.4693,0.0,0.0,0.0,0.0,0.0,0.0,7.2415,0.5821,1.187,0.8716,0.0,0.0,0.2961,0.6753,30.0,0.4976,2.0445,0.7079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.5514,50.8,0.4472,12.5,0.2808,1.2794,0.1723,0.0,0.0,100.0,0.6136,0.0,0.0,0.6136,0.2271,1.0,0.8863,0.0,0.8863,0.8863,4.8238,0.2715,11.8,0.8079,1.0,6.4,0.2987,0.0,6.0,0.3257,0.0,17.8,0.6015,0.0,12.4,0.5466,0.0,1.0,0.2,9.2,0.2303,0.2303,0.2303,0.0,0.0,6.3,0.2945,0.2945,0.2919,0.0,0.0,0.0,5.7273,0.3153,9.0,0.0936,0.6429,9.0,0.0,0.0,0.0,7.4156,0.9589,9.0,0.0,0.0,0.0,1.9171,0.5581,2.4419,0.2905,497.0,21.7,62.0,2.7,329.0,14.3,0.0,0.0,0.0,0.0,89.0,3.9,0.0,0.0,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,39.13854,-76.593041,4,15.08313487462088,0,,0,0,0,1,False
24.0,3.0,730206.0,140000US24003730206,24003730206.0,24003730206.0,Anne Arundel County,Maryland,MD,Census Tract 7302.06; Anne Arundel County; Maryland,3247.0,438.0,2113.0,1.4331,0.5861,1.2331,0.688,2.3937,0.7969,39.2,0.5684,0.5684,0.5684,29.3809,0.5322,10.8,0.5999,5.2,0.5644,43.2,0.6773,28.6,0.6273,17.5,0.8855,8.7,0.4155,4.3021,0.6897,21.3,0.7477,11.5,0.0787,18.2,0.7954,5.7,0.7908,2.4126,0.8186,0.0,0.0,0.2,0.443,0.443,0.2021,7.7261,0.6631,1.278,0.8855,0.091,0.5886,0.2923,0.6676,30.0,0.4976,2.6393,0.8674,0.0,0.0,0.0,0.0,43.1009,0.6797,0.0,0.0,0.0,0.0,0.0,0.0,0.6797,0.2996,100.0,0.5514,44.5,0.3793,9.375,0.4595,1.3902,0.2526,0.0,0.0,99.999,0.6126,0.0,0.0,0.6126,0.2263,1.0,0.8863,0.0,0.8863,0.8863,6.2081,0.57,11.6,0.7701,1.0,6.9,0.3563,0.0,5.6,0.2485,0.0,17.8,0.6015,0.0,11.0,0.3739,0.0,1.0,0.2,9.4,0.2483,0.2483,0.2483,0.0,0.0,6.3,0.2945,0.2945,0.2919,3.685,0.7265,9.0,5.7273,0.3153,9.0,0.104,0.6602,9.0,3.75,0.8048,9.0,7.7704,0.9803,9.0,0.0,0.0,0.0,3.4871,0.9895,4.0299,0.9606,659.0,20.3,525.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,88.0,2.7,0.0,0.0,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,39.149276,-76.5927,4,13.892493838677613,0,,0,0,0,1,False
24.0,3.0,730300.0,140000US24003730300,24003730300.0,24003730300.0,Anne Arundel County,Maryland,MD,Census Tract 7303; Anne Arundel County; Maryland,3937.0,848.0,1983.0,1.2898,0.5068,1.0898,0.5893,2.2499,0.7338,39.8,0.574,0.574,0.574,23.5324,0.4064,11.8,0.6384,5.6,0.6044,8.8,0.0982,18.1,0.2772,8.8,0.6147,5.0,0.2243,2.8636,0.3535,11.9,0.2592,25.3,0.7228,13.7,0.5658,6.1,0.8022,2.35,0.7809,0.0,0.0,0.1,0.3697,0.3697,0.1668,6.1573,0.3909,1.278,0.8855,0.091,0.5886,0.3111,0.7059,30.0,0.4976,2.6776,0.8743,0.0,0.0,0.0,0.0,80.5696,0.7713,0.0,0.0,0.0,0.0,0.0,0.0,0.7713,0.3382,100.0,0.5514,89.7,0.8972,9.4792,0.4536,1.9022,0.7328,0.0,0.0,100.0,0.6136,0.0,0.0,0.6136,0.2271,1.0,0.8863,0.0,0.8863,0.8863,6.851,0.6989,11.4,0.7278,1.0,7.9,0.477,0.0,6.7,0.4623,0.0,17.5,0.5674,0.0,11.4,0.4241,0.0,1.0,0.2,9.2,0.2303,0.2303,0.2303,0.0,0.0,6.3,0.2945,0.2945,0.2919,3.687,0.7374,9.0,5.7273,0.3153,9.0,0.1047,0.6605,9.0,3.75,0.8048,9.0,7.7938,0.9805,9.0,0.0,0.0,0.0,3.4985,0.9899,4.0233,0.9601,325.0,8.3,826.0,21.0,216.0,5.5,0.0,0.0,0.0,0.0,200.0,5.1,0.0,0.0,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,39.15152,-76.60695,4,13.697740416758686,0,,0,0,0,1,False
24.0,3.0,730401.0,140000US24003730401,24003730401.0,24003730401.0,Anne Arundel County,Maryland,MD,Census Tract 7304.01; Anne Arundel County; Maryland,5651.0,758.0,3288.0,1.4485,0.5952,1.2485,0.6981,1.7642,0.4755,44.9,0.621,0.621,0.621,19.929,0.3261,12.3,0.6558,2.8,0.2701,18.2,0.2907,18.6,0.2953,4.6,0.3346,14.8,0.6753,2.8479,0.3501,17.2,0.5465,18.9,0.3298,17.2,0.7548,1.8,0.5723,2.2034,0.6779,0.0,0.0,0.0,0.0,0.0,0.0,5.6723,0.3126,1.096,0.8546,0.0,0.0,0.3233,0.7284,30.0,0.4976,2.0806,0.7191,0.0,0.0,27.0905,0.5723,100.0,0.8446,46.1521,0.8931,0.0,0.0,0.0,0.0,2.31,0.856,100.0,0.5514,61.8,0.5709,14.75,0.1107,1.233,0.1445,22.4394,0.4895,100.0,0.6136,35.7802,0.9485,2.0516,0.9501,1.0,0.8863,0.0,0.8863,0.8863,8.5615,0.9359,11.2,0.6788,1.0,6.9,0.3563,0.0,5.6,0.2485,0.0,17.4,0.5557,0.0,10.5,0.3098,0.0,1.0,0.2,9.2,0.2303,0.2303,0.2303,0.0,0.0,6.3,0.2945,0.2945,0.2919,0.0,0.0,0.0,5.7273,0.3153,9.0,0.1043,0.6603,9.0,0.0,0.0,0.0,7.7809,0.9804,9.0,0.0278,0.0,2.0,1.956,0.5757,2.4808,0.3157,913.0,16.2,642.0,11.4,566.0,10.0,0.0,0.0,0.0,0.0,400.0,7.1,16.0,0.3,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,39.154629,-76.631251,4,13.871041726838094,0,,0,0,0,1,False
24.0,3.0,730403.0,140000US24003730403,24003730403.0,24003730403.0,Anne Arundel County,Maryland,MD,Census Tract 7304.03; Anne Arundel County; Maryland,4304.0,1049.0,1884.0,1.3873,0.5614,0.9873,0.507,1.6869,0.4316,54.1,0.6919,0.6919,0.6919,26.7969,0.4774,11.7,0.6345,1.2,0.086,65.3,0.8665,29.2,0.6429,14.9,0.8339,5.2,0.2344,3.7756,0.5684,6.2,0.0574,22.4,0.5498,11.0,0.3826,2.8,0.659,1.6488,0.2378,0.0,0.0,0.5,0.5859,0.5859,0.3154,6.7022,0.4856,1.096,0.8546,0.0,0.0,0.28,0.6431,30.0,0.4976,1.9953,0.6858,0.0,0.0,0.0,0.0,100.0,0.8446,0.0,0.0,0.0,0.0,0.0,0.0,0.8446,0.3699,100.0,0.5514,71.2,0.6775,11.8333,0.3229,1.5518,0.4072,0.0,0.0,100.0,0.6136,0.0,0.0,0.6136,0.2271,1.0,0.8863,0.0,0.8863,0.8863,5.8916,0.5017,11.8,0.8079,1.0,6.4,0.2987,0.0,5.7,0.267,0.0,18.5,0.6762,1.0,11.0,0.3739,0.0,2.0,0.4,9.2,0.2303,0.2303,0.2303,0.0,0.0,6.3,0.2945,0.2945,0.2919,0.0,0.0,0.0,5.7273,0.3153,9.0,0.0978,0.6458,9.0,0.0,0.0,0.0,7.5601,0.9733,9.0,0.0,0.0,0.0,1.9344,0.5665,2.4592,0.2996,1562.0,36.3,484.0,11.2,55.0,1.3,29.0,0.7,0.0,0.0,182.0,4.2,17.0,0.4,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,39.145566,-76.62429,4,14.650871311890183,0,,0,0,0,1,False
24.0,3.0,730404.0,140000US24003730404,24003730404.0,24003730404.0,Anne Arundel County,Maryland,MD,Census Tract 7304.04; Anne Arundel County; Maryland,1729.0,352.0,2666.0,1.6502,0.6989,1.2502,0.6991,2.395,0.7974,27.1,0.4332,0.4332,0.4332,41.9895,0.7548,24.9,0.9011,2.2,0.1939,39.0,0.6283,42.8,0.8868,12.7,0.7743,17.6,0.7645,4.9037,0.8108,15.9,0.4745,23.0,0.5876,13.7,0.5658,2.0,0.5931,2.221,0.6917,0.0,0.0,0.3,0.5046,0.5046,0.2494,8.0625,0.718,1.096,0.8546,0.0,0.0,0.295,0.673,30.0,0.4976,2.0252,0.6967,0.0,0.0,0.0,0.0,83.7457,0.7792,0.0,0.0,0.0,0.0,0.0,0.0,0.7792,0.3414,100.0,0.5514,97.3,0.9814,13.6667,0.1931,1.7259,0.5866,0.0,0.0,100.0,0.6136,0.0,0.0,0.6136,0.2271,1.0,0.8863,0.0,0.8863,0.8863,6.0302,0.5322,12.1,0.8555,1.0,7.5,0.4256,0.0,7.3,0.5726,0.0,19.3,0.7509,1.0,12.7,0.5807,0.0,2.0,0.4,9.2,0.2303,0.2303,0.2303,0.0,0.0,6.3,0.2945,0.2945,0.2919,0.0,0.0,0.0,5.7273,0.3153,9.0,0.0975,0.6455,9.0,3.75,0.8048,9.0,7.5488,0.9731,9.0,0.0,0.0,0.0,2.7387,0.8957,3.2635,0.7448,162.0,9.4,239.0,13.8,28.0,1.6,7.0,0.4,0.0,0.0,33.0,1.9,0.0,0.0,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,39.145794,-76.613893,4,14.418954297183896,0,,0,0,0,1,False
24.0,3.0,730507.0,140000US24003730507,24003730507.0,24003730507.0,Anne Arundel County,Maryland,MD,Census Tract 7305.07; Anne Arundel County; Maryland,4453.0,755.0,4250.0,0.6059,0.1194,0.6059,0.2122,1.3273,0.2367,41.8,0.5929,0.5929,0.5929,18.3044,0.2895,6.5,0.3846,4.2,0.4524,1.4,0.0083,8.5,0.0311,6.7,0.4912,1.1,0.0406,1.6977,0.1242,18.9,0.6376,18.8,0.3243,12.2,0.4669,1.9,0.5828,2.0116,0.5183,0.0,0.0,0.2,0.443,0.443,0.2021,4.7452,0.1773,1.004,0.824,0.0,0.0,0.2658,0.6125,30.0,0.4976,1.9341,0.6632,0.0,0.0,0.0,0.0,35.3753,0.6577,0.0,0.0,0.0,0.0,0.0,0.0,0.6577,0.2893,100.0,0.5514,42.2,0.3561,8.1111,0.5565,1.464,0.319,0.0,0.0,100.0,0.6136,0.0,0.0,0.6136,0.2271,1.0,0.8863,0.0,0.8863,0.8863,5.5557,0.4286,11.0,0.6239,0.0,7.8,0.4639,0.0,5.7,0.267,0.0,16.0,0.3855,0.0,10.5,0.3098,0.0,0.0,0.0,9.2,0.2303,0.2303,0.2303,0.0,0.0,6.3,0.2945,0.2945,0.2919,0.0,0.0,0.0,5.7273,0.3153,9.0,0.0935,0.6127,9.0,3.75,0.8048,9.0,7.4121,0.9528,9.0,0.0,0.0,0.0,2.6856,0.8776,3.2104,0.7214,742.0,16.7,96.0,2.2,533.0,12.0,0.0,0.0,0.0,0.0,490.0,11.0,0.0,0.0,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,39.131016,-76.607689,4,15.972092115937876,0,,0,0,0,1,False
24.0,3.0,730508.0,140000US24003730508,24003730508.0,24003730508.0,Anne Arundel County,Maryland,MD,Census Tract 7305.08; Anne Arundel County; Maryland,2275.0,454.0,3121.0,0.9529,0.2996,0.7529,0.3175,1.6743,0.4241,58.3,0.721,0.721,0.721,9.5778,0.0993,6.3,0.3726,7.9,0.7765,74.8,0.9179,14.4,0.1517,5.1,0.3756,1.2,0.0436,2.7372,0.3264,14.0,0.3689,21.2,0.4717,9.1,0.2466,0.0,0.0,1.0872,0.0518,0.0,0.0,3.7,0.8697,0.8697,0.5456,5.4151,0.2732,1.004,0.824,0.0,0.0,0.2658,0.6125,30.0,0.4976,1.9341,0.6632,0.0,0.0,0.0,0.0,100.0,0.8446,0.0,0.0,0.0,0.0,0.0,0.0,0.8446,0.3699,100.0,0.5514,46.6,0.4015,8.1111,0.5565,1.5094,0.3625,0.0,0.0,100.0,0.6136,0.0,0.0,0.6136,0.2271,1.0,0.8863,0.0,0.8863,0.8863,5.788,0.4797,12.3,0.8804,1.0,6.5,0.3101,0.0,5.7,0.267,0.0,18.3,0.6557,0.0,11.7,0.4619,0.0,1.0,0.2,9.2,0.2303,0.2303,0.2303,0.0,0.0,6.3,0.2945,0.2945,0.2919,0.0,0.0,0.0,5.7273,0.3153,9.0,0.0935,0.6127,9.0,3.75,0.8048,9.0,7.4121,0.9528,9.0,0.0,0.0,0.0,2.6856,0.8776,3.2104,0.7214,1178.0,51.8,123.0,5.4,8.0,0.4,0.0,0.0,0.0,0.0,18.0,0.8,0.0,0.0,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,39.135774,-76.621258,4,15.64883528731908,0,,0,0,0,1,False
